,champ0,champ1,champ2,champ3,champ4,champ5,champ6,champ7,champ8,champ9,win
0,240,29,63,64,1,24,238,432,51,17,True
1,54,99,236,107,238,25,96,103,62,92,False
2,222,63,24,150,238,41,5,53,61,51,False
3,21,99,103,122,141,25,59,85,112,15,False
4,143,96,157,134,50,35,150,110,61,40,True
5,254,497,15,163,126,412,24,50,81,19,False
6,69,64,126,29,53,40,41,61,119,102,True
7,91,57,67,16,28,5,18,58,40,268,True
8,14,498,121,497,55,33,39,412,238,222,False
9,4,77,12,22,80,79,62,267,84,29,True
10,81,19,21,63,86,106,103,18,240,57,False
11,201,4,238,64,222,67,9,104,101,23,False
12,14,55,18,114,141,157,245,236,9,223,False
13,29,79,432,127,420,115,51,86,5,16,False
14,19,75,99,45,67,103,41,201,429,32,False
15,11,105,92,89,96,157,420,12,67,24,False
16,75,238,31,18,143,497,24,498,59,1,True
17,26,112,18,20,126,161,59,23,412,15,False
18,6,5,245,236,267,498,44,19,55,86,False
19,21,25,33,45,27,24,161,67,201,19,True
20,101,58,51,19,40,99,86,11,1,21,True
21,34,14,53,18,19,16,134,29,58,79,False
22,1,110,113,201,80,412,29,99,75,141,True
23,202,113,157,63,57,92,38,35,59,15,True
24,79,37,96,516,134,38,157,99,67,24,False
25,412,161,18,32,8,54,15,154,238,63,True
26,29,63,75,1,164,99,516,96,19,12,True
27,55,19,53,67,77,201,120,202,48,38,True
28,238,31,99,22,59,516,67,117,75,90,False
29,51,412,18,84,77,59,20,53,81,39,True
30,48,29,43,53,19,18,101,5,117,122,False
31,64,18,62,98,45,412,57,21,69,103,False
32,64,19,498,57,99,113,103,29,17,412,True
33,25,102,15,103,17,516,32,245,40,96,True
34,18,41,25,154,38,96,105,40,64,75,True
35,20,53,133,81,157,102,18,117,236,40,False
36,245,99,498,120,3,267,103,18,59,60,False
37,157,99,105,516,81,37,19,21,17,63,False
38,420,432,67,28,91,40,238,120,51,74,False
39,31,89,161,18,92,38,81,141,420,412,True
40,96,238,57,53,79,120,69,267,67,6,True
41,64,43,18,10,78,119,497,115,141,39,False
42,202,11,1,150,41,236,40,67,58,79,False
43,31,4,11,18,22,110,150,63,113,91,True
44,91,60,23,119,53,267,42,15,11,105,True
45,19,150,99,51,223,96,25,121,161,31,True
46,103,110,254,432,75,44,114,121,222,41,False
47,16,80,222,4,427,17,77,29,238,432,False
48,57,222,13,24,40,59,115,15,412,98,True
49,222,76,13,91,53,78,161,22,516,141,False
50,64,18,20,99,16,412,498,79,45,32,True
51,99,23,432,29,5,267,120,498,17,38,True
52,112,117,67,75,141,43,127,29,22,98,False
53,202,30,89,75,5,45,14,92,79,67,False
54,43,8,157,18,113,29,120,238,58,267,True
55,67,57,26,121,201,31,53,21,245,39,True
56,58,35,40,18,34,163,29,203,412,12,False
57,202,23,141,267,134,222,25,143,58,64,True
58,41,18,5,35,516,22,59,99,14,7,False
59,89,34,17,32,18,202,56,157,68,40,True
60,50,75,201,29,11,19,27,51,89,103,True
61,412,498,141,5,238,91,79,110,41,53,False
62,85,164,121,29,267,44,516,112,62,96,False
63,9,113,105,150,18,86,157,154,96,412,False
64,157,240,29,1,35,120,99,238,14,222,False
65,134,99,85,254,110,117,31,105,121,18,False
66,8,68,56,22,89,222,59,24,112,43,True
67,238,29,10,57,222,236,133,92,25,61,True
68,113,4,16,84,222,121,105,114,37,67,True
69,412,15,157,42,11,20,37,17,79,18,False
70,238,82,122,21,37,99,79,54,157,222,True
71,245,96,120,111,55,84,24,16,119,75,False
72,99,19,15,105,80,57,36,79,29,412,False
73,98,136,11,110,59,105,141,29,20,92,True
74,17,105,42,11,14,27,45,141,18,412,False
75,63,497,59,77,18,236,92,28,99,40,False
76,429,238,17,141,53,59,91,121,40,21,False
77,57,22,133,74,81,222,50,111,5,113,False
78,25,33,18,150,38,245,31,412,22,59,False
79,91,75,236,245,412,267,41,115,18,23,False
80,122,96,40,19,69,157,50,102,412,498,False
81,150,81,22,60,432,25,254,29,245,10,False
82,141,40,8,157,236,21,38,117,121,92,True
83,103,111,222,57,133,23,16,29,64,105,False
84,11,412,51,157,150,36,25,121,40,202,False
85,202,17,7,11,111,64,18,40,122,1,True
86,77,245,99,8,119,12,22,134,516,19,True
87,6,44,29,254,69,96,497,28,236,85,False
88,412,80,37,60,21,238,27,104,498,432,False
89,105,26,96,133,64,9,202,23,74,25,False
90,89,429,102,42,58,2,1,141,67,111,False
91,222,58,245,57,223,201,99,81,59,6,False
92,41,55,143,64,18,236,51,16,98,9,False
93,92,105,117,29,20,96,106,8,16,86,False
94,4,16,92,236,60,63,222,17,201,254,False
95,78,2,45,86,202,103,54,106,498,25,True
96,43,99,96,57,102,202,110,267,106,141,False
97,29,26,122,11,43,56,202,115,12,58,False
98,421,497,22,101,92,119,164,12,163,121,True
99,77,122,74,119,12,92,497,38,59,222,False
