,adc,jg,mid,supp,top,win
0,29,64,1,63,240,True
1,51,24,238,432,17,False
2,236,107,238,99,54,False
3,96,92,103,25,62,True
4,222,24,238,63,150,False
5,51,5,61,53,41,True
6,21,141,103,99,122,False
7,15,59,112,25,85,True
8,96,157,134,143,50,True
9,110,35,61,40,150,False
10,15,254,163,497,126,False
11,81,19,50,412,24,True
12,29,64,69,53,126,True
13,119,102,61,40,41,False
14,67,28,91,16,57,True
15,18,5,268,40,58,False
16,498,121,55,497,14,False
17,22,77,4,12,80,True
18,29,62,79,267,84,False
19,21,19,81,63,86,False
20,18,57,103,106,240,True
21,67,104,101,9,23,True
22,18,141,55,14,114,False
23,29,79,127,432,420,False
24,51,5,115,16,86,True
25,67,19,45,99,75,False
26,429,32,103,201,41,True
27,96,11,105,89,92,False
28,18,31,238,143,75,True
29,498,59,1,497,24,False
30,18,20,112,26,126,False
31,15,59,161,412,23,True
32,236,5,245,267,6,False
33,21,33,45,25,27,True
34,51,19,101,40,58,True
35,18,19,34,53,14,False
36,29,79,134,16,58,True
37,29,141,99,412,75,False
38,202,113,157,63,57,True
39,96,79,134,37,516,False
40,67,24,38,99,157,True
41,18,32,161,412,8,True
42,15,154,238,63,54,False
43,29,164,1,63,75,True
44,96,19,99,12,516,False
45,22,59,238,99,31,False
46,67,516,90,117,75,True
47,51,77,84,412,18,True
48,81,59,20,53,39,False
49,29,19,43,53,48,False
50,18,5,101,117,122,True
51,18,64,45,98,62,False
52,21,57,103,412,69,True
53,498,19,99,64,57,True
54,29,113,103,412,17,False
55,15,102,103,25,17,True
56,96,32,245,40,516,False
57,18,154,38,25,41,True
58,96,64,105,40,75,False
59,81,20,133,53,157,False
60,18,102,117,40,236,True
61,498,120,245,99,3,False
62,18,60,103,267,59,True
63,21,19,63,37,17,True
64,67,28,91,432,420,False
65,51,120,238,40,74,True
66,18,31,161,89,92,True
67,81,141,38,412,420,False
68,96,79,238,53,57,True
69,67,120,69,267,6,False
70,18,64,43,78,10,False
71,119,141,115,497,39,True
72,67,79,236,40,58,True
73,18,11,4,31,22,True
74,119,60,91,53,23,True
75,15,11,42,267,105,False
76,51,19,99,223,150,True
77,110,254,103,432,75,False
78,222,121,41,44,114,True
79,222,427,4,16,80,False
80,29,77,238,432,17,True
81,222,57,13,40,24,True
82,15,59,115,412,98,False
83,222,76,91,53,13,False
84,22,141,161,78,516,True
85,18,64,99,16,20,True
86,498,32,45,412,79,False
87,29,5,99,432,23,True
88,498,120,38,267,17,False
89,67,141,112,117,75,False
90,202,5,30,89,75,False
91,67,79,45,14,92,True
92,18,113,157,43,8,True
93,29,120,238,267,58,False
94,67,121,26,201,57,True
95,21,31,245,53,39,False
96,18,35,34,40,58,False
97,29,203,163,412,12,True
98,202,141,134,267,23,True
99,222,64,25,143,58,False
100,18,5,41,35,516,False
101,22,59,7,99,14,True
102,18,32,34,89,17,True
103,202,56,157,40,68,False
104,29,11,50,201,75,True
105,51,19,103,89,27,False
106,498,141,238,412,5,False
107,110,79,91,53,41,True
108,29,121,85,267,164,False
109,96,62,112,44,516,True
110,18,113,105,9,150,False
111,96,154,157,412,86,True
112,29,35,157,1,240,False
113,222,120,238,99,14,True
114,110,254,134,99,85,False
115,18,121,105,117,31,True
116,22,56,8,89,68,True
117,222,59,112,43,24,False
118,222,29,238,57,10,True
119,236,133,61,25,92,False
120,222,113,4,16,84,True
121,67,121,105,37,114,False
122,15,11,42,412,157,False
123,18,20,79,37,17,True
124,21,82,238,37,122,True
125,222,79,157,99,54,False
126,119,24,84,16,75,True
127,15,19,105,99,80,False
128,29,36,79,412,57,True
129,110,11,136,98,59,True
130,42,11,105,17,14,False
131,18,141,45,412,27,True
132,18,59,63,497,77,False
133,236,28,99,40,92,True
134,22,133,81,57,74,False
135,18,33,38,25,150,False
136,22,59,245,412,31,True
137,236,245,91,412,75,False
138,18,23,115,267,41,True
139,498,102,157,412,50,True
140,22,60,81,432,150,False
141,29,254,245,25,10,True
142,236,141,157,40,8,True
143,21,121,38,117,92,False
144,222,57,103,111,133,False
145,29,64,105,16,23,True
146,51,11,157,412,150,False
147,202,121,25,40,36,True
148,202,11,7,111,17,True
149,18,64,1,40,122,False
150,119,77,8,99,245,True
151,22,19,134,12,516,False
152,29,254,69,44,6,False
153,96,28,236,497,85,True
154,21,60,37,412,80,False
155,498,104,238,432,27,True
156,96,64,105,26,133,False
157,202,9,74,25,23,True
158,429,102,42,89,58,False
159,222,57,245,223,58,False
160,81,59,99,201,6,True
161,18,64,55,143,41,False
162,51,9,236,16,98,True
163,29,20,105,117,92,False
164,96,106,8,16,86,True
165,236,60,4,16,92,False
166,222,254,63,201,17,True
167,498,54,103,25,106,False
168,96,102,99,43,57,False
169,110,141,202,267,106,True
170,29,11,26,43,122,False
171,202,56,115,12,58,True
172,22,421,101,497,92,True
173,119,121,163,12,164,False
174,119,77,74,12,122,False
175,222,59,38,497,92,True
176,51,19,50,143,420,True
177,202,107,163,37,516,False
178,22,9,163,412,83,False
179,29,64,99,117,24,True
180,18,104,134,16,83,True
181,22,59,90,412,106,False
182,202,32,85,134,86,True
183,21,254,25,40,266,False
184,18,59,91,497,14,True
185,67,121,3,37,79,False
186,81,117,90,201,122,True
187,222,31,1,53,164,False
188,67,113,136,89,10,False
189,29,102,91,412,50,True
190,110,57,30,40,17,False
191,67,59,61,117,92,True
192,15,19,245,143,58,True
193,236,11,38,497,82,False
194,96,421,105,10,98,False
195,498,102,45,516,12,True
196,429,106,90,412,48,True
197,22,48,245,516,82,False
198,51,33,163,412,24,True
199,15,141,105,59,114,True
200,18,48,4,412,104,False
201,21,59,245,117,75,False
202,18,62,7,412,6,True
203,498,79,91,53,141,False
204,15,79,245,40,157,True
205,222,28,10,412,24,False
